feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,targetfeature
60,RL,65,8450,Pave,Reg,Lvl,AllPub,Gtl,7,5,2003,196,Gd,TA,706,150,856,Ex,Y,1710,1,0,2,1,3,1,Gd,8,Typ,0,NA,2003,2,548,Y,0,61,0,0,0,0,0,2,2008,NA,NA,NA,208500
20,RL,80,9600,Pave,Reg,Lvl,AllPub,Gtl,6,8,1976,0,TA,TA,978,284,1262,Ex,Y,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,1976,2,460,Y,298,0,0,0,0,0,0,5,2007,NA,NA,NA,181500
60,RL,68,11250,Pave,IR1,Lvl,AllPub,Gtl,7,5,2001,162,Gd,TA,486,434,920,Ex,Y,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,2001,2,608,Y,0,42,0,0,0,0,0,9,2008,NA,NA,NA,223500
70,RL,60,9550,Pave,IR1,Lvl,AllPub,Gtl,7,5,1915,0,TA,TA,216,540,756,Gd,Y,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,1998,3,642,Y,0,35,272,0,0,0,0,2,2006,NA,NA,NA,140000
60,RL,84,14260,Pave,IR1,Lvl,AllPub,Gtl,8,5,2000,350,Gd,TA,655,490,1145,Ex,Y,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,2000,3,836,Y,192,84,0,0,0,0,0,12,2008,NA,NA,NA,250000
50,RL,85,14115,Pave,IR1,Lvl,AllPub,Gtl,5,5,1993,0,TA,TA,732,64,796,Ex,Y,1362,1,0,1,1,1,1,TA,5,Typ,0,NA,1993,2,480,Y,40,30,0,320,0,0,700,10,2009,NA,MnPrv,Shed,143000
20,RL,75,10084,Pave,Reg,Lvl,AllPub,Gtl,8,5,2004,186,Gd,TA,1369,317,1686,Ex,Y,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,2004,2,636,Y,255,57,0,0,0,0,0,8,2007,NA,NA,NA,307000
60,RL,NA,10382,Pave,IR1,Lvl,AllPub,Gtl,7,6,1973,240,TA,TA,859,216,1107,Ex,Y,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,1973,2,484,Y,235,204,228,0,0,0,350,11,2009,NA,NA,Shed,200000
50,RM,51,6120,Pave,Reg,Lvl,AllPub,Gtl,7,5,1931,0,TA,TA,0,952,952,Gd,Y,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,1931,2,468,Y,90,0,205,0,0,0,0,4,2008,NA,NA,NA,129900
190,RL,50,7420,Pave,Reg,Lvl,AllPub,Gtl,5,6,1939,0,TA,TA,851,140,991,Ex,Y,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,1939,1,205,Y,0,4,0,0,0,0,0,1,2008,NA,NA,NA,118000
